Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Kentucky,US,14/11/2022 04:21,36.99308373,-85.06070117,7874,96,,,"Russell, Kentucky, US",43932.37739,1.219202438
Kentucky,US,14/11/2022 04:21,38.29622293,-84.5816631,21790,120,,,"Scott, Kentucky, US",38225.38769,0.550711335
Kentucky,US,14/11/2022 04:21,38.21476019,-85.194223,16101,178,,,"Shelby, Kentucky, US",32843.09726,1.105521396
Kentucky,US,14/11/2022 04:21,36.74058474,-86.58047435,6874,101,,,"Simpson, Kentucky, US",37012.7073,1.469304626
Kentucky,US,14/11/2022 04:21,38.03223971,-85.32749335,6555,66,,,"Spencer, Kentucky, US",33874.21839,1.006864989
Kentucky,US,14/11/2022 04:21,37.3677562,-85.3329931,11231,137,,,"Taylor, Kentucky, US",43583.37537,1.219837949
Kentucky,US,14/11/2022 04:21,36.8381152,-87.17878374,3410,47,,,"Todd, Kentucky, US",27737.10753,1.37829912
Kentucky,US,14/11/2022 04:21,36.80767017,-87.87333656,4877,47,,,"Trigg, Kentucky, US",33287.83018,0.963707197
Kentucky,US,14/11/2022 04:21,38.61056487,-85.33775972,2584,46,,,"Trimble, Kentucky, US",30504.07272,1.780185759
Kentucky,US,14/11/2022 04:21,,,2504,0,,,"Unassigned, Kentucky, US",,0
Kentucky,US,14/11/2022 04:21,37.66166713,-87.94300009,5186,60,,,"Union, Kentucky, US",36061.47,1.156961049
Kentucky,US,14/11/2022 04:21,36.99903045,-86.42672751,51210,404,,,"Warren, Kentucky, US",38533.89116,0.788908416
Kentucky,US,14/11/2022 04:21,37.75599461,-85.17407732,4789,67,,,"Washington, Kentucky, US",39594.87391,1.399039465
Kentucky,US,14/11/2022 04:21,36.80310688,-84.8251971,7844,105,,,"Wayne, Kentucky, US",38577.6816,1.338602754
Kentucky,US,14/11/2022 04:21,37.52168356,-87.67989953,4669,51,,,"Webster, Kentucky, US",36076.3406,1.092310987
Kentucky,US,14/11/2022 04:21,36.75700531,-84.14541217,16439,225,,,"Whitley, Kentucky, US",45331.4582,1.368696393
Kentucky,US,14/11/2022 04:21,37.73941626,-83.49303612,3398,30,,,"Wolfe, Kentucky, US",47477.99357,0.882872278
Kentucky,US,14/11/2022 04:21,38.04178222,-84.7417556,8888,58,,,"Woodford, Kentucky, US",33246.05371,0.652565257
Louisiana,US,14/11/2022 04:21,30.2950649,-92.41419698,18283,305,,,"Acadia, Louisiana, US",29467.3221,1.668216376
Louisiana,US,14/11/2022 04:21,30.65385745,-92.82442028,8841,143,,,"Allen, Louisiana, US",34498.77083,1.617464088
Louisiana,US,14/11/2022 04:21,30.20406249,-90.9132841,40162,302,,,"Ascension, Louisiana, US",31722.53641,0.751954584
Louisiana,US,14/11/2022 04:21,29.89946234,-91.06461642,6413,72,,,"Assumption, Louisiana, US",29295.14412,1.122719476
Louisiana,US,14/11/2022 04:21,31.07796211,-92.00079449,13600,216,,,"Avoyelles, Louisiana, US",33878.03906,1.588235294
Louisiana,US,14/11/2022 04:21,30.64836518,-93.34173616,10682,145,,,"Beauregard, Louisiana, US",28487.61234,1.357423703
Louisiana,US,14/11/2022 04:21,32.34569994,-93.05398492,4721,115,,,"Bienville, Louisiana, US",35654.40677,2.435924592
Louisiana,US,14/11/2022 04:21,32.67932307,-93.60460152,47474,524,,,"Bossier, Louisiana, US",37369.62665,1.103762059
Louisiana,US,14/11/2022 04:21,32.57991587,-93.88375652,82492,1229,,,"Caddo, Louisiana, US",34342.47556,1.489841439
Louisiana,US,14/11/2022 04:21,30.22931235,-93.35400434,63448,733,,,"Calcasieu, Louisiana, US",31188.18695,1.155276762
Louisiana,US,14/11/2022 04:21,32.0902519,-92.11752148,4297,55,,,"Caldwell, Louisiana, US",43325.26719,1.279962765
Louisiana,US,14/11/2022 04:21,29.87592238,-93.19310676,1329,10,,,"Cameron, Louisiana, US",19059.22845,0.752445448
Louisiana,US,14/11/2022 04:21,31.66778967,-91.84526385,3009,59,,,"Catahoula, Louisiana, US",31693.70129,1.960784314
Louisiana,US,14/11/2022 04:21,32.82308512,-92.99526883,3893,81,,,"Claiborne, Louisiana, US",24843.65029,2.080657591
Louisiana,US,14/11/2022 04:21,31.44817835,-91.63814433,5958,91,,,"Concordia, Louisiana, US",30936.18568,1.527358174
Louisiana,US,14/11/2022 04:21,32.05457447,-93.74130302,9121,141,,,"De Soto, Louisiana, US",33211.95791,1.545883127
Louisiana,US,14/11/2022 04:21,30.53842039,-91.09777565,129888,1399,,,"East Baton Rouge, Louisiana, US",29516.04217,1.077081794
Louisiana,US,14/11/2022 04:21,32.73926954,-91.23425694,3092,38,,,"East Carroll, Louisiana, US",45066.31686,1.228978008
Louisiana,US,14/11/2022 04:21,30.84425359,-91.04976723,7904,179,,,"East Feliciana, Louisiana, US",41306.5064,2.264676113
Louisiana,US,14/11/2022 04:21,30.72985248,-92.39915924,9909,162,,,"Evangeline, Louisiana, US",29672.1066,1.634877384
Louisiana,US,14/11/2022 04:21,32.13675181,-91.67589857,8477,188,,,"Franklin, Louisiana, US",42353.23507,2.217765719
Louisiana,US,14/11/2022 04:21,31.59882456,-92.56124347,6888,97,,,"Grant, Louisiana, US",30765.10787,1.408246225
Louisiana,US,14/11/2022 04:21,29.86803617,-91.75871777,23146,271,,,"Iberia, Louisiana, US",33146.21223,1.170828653
Louisiana,US,14/11/2022 04:21,30.25734305,-91.3499598,10991,155,,,"Iberville, Louisiana, US",33807.01916,1.410244746
Louisiana,US,14/11/2022 04:21,32.30251776,-92.55692092,5270,82,,,"Jackson, Louisiana, US",33473.06911,1.55597723
Louisiana,US,14/11/2022 04:21,29.74075478,-90.11115756,134671,1416,,,"Jefferson, Louisiana, US",31138.30744,1.051451315
Louisiana,US,14/11/2022 04:21,30.26896765,-92.81210004,7923,171,,,"Jefferson Davis, Louisiana, US",25258.22494,2.158273381
Louisiana,US,14/11/2022 04:21,31.67884782,-92.15907765,4900,67,,,"LaSalle, Louisiana, US",32903.57239,1.367346939
Louisiana,US,14/11/2022 04:21,30.2049055,-92.06959876,73363,523,,,"Lafayette, Louisiana, US",30018.82237,0.71289342
Louisiana,US,14/11/2022 04:21,29.52470226,-90.40976986,32816,396,,,"Lafourche, Louisiana, US",33618.12855,1.206728425
Louisiana,US,14/11/2022 04:21,32.6003154,-92.6659741,14715,157,,,"Lincoln, Louisiana, US",31481.32301,1.066938498
Louisiana,US,14/11/2022 04:21,30.44143993,-90.73061664,42013,480,,,"Livingston, Louisiana, US",29841.10975,1.142503511
Louisiana,US,14/11/2022 04:21,32.36918118,-91.23973355,3743,64,,,"Madison, Louisiana, US",34179.52698,1.709858402
Louisiana,US,14/11/2022 04:21,32.81686191,-91.80421614,8203,143,,,"Morehouse, Louisiana, US",32978.21018,1.743264659
Louisiana,US,14/11/2022 04:21,31.72321584,-93.09816516,12333,184,,,"Natchitoches, Louisiana, US",32320.87636,1.491932214
Louisiana,US,14/11/2022 04:21,30.06971951,-89.92660315,107316,1176,,,"Orleans, Louisiana, US",27506.76673,1.09582914
Louisiana,US,14/11/2022 04:21,32.47645559,-92.15704172,59873,815,,,"Ouachita, Louisiana, US",39061.45004,1.361214571
Louisiana,US,12/09/2022 23:21,,,0,0,,,"Out of LA, Louisiana, US",,
Louisiana,US,14/11/2022 04:21,29.42245447,-89.60322085,7464,48,,,"Plaquemines, Louisiana, US",32176.57456,0.643086817
Louisiana,US,14/11/2022 04:21,30.71409502,-91.60209535,7471,96,,,"Pointe Coupee, Louisiana, US",34381.04004,1.284968545
Louisiana,US,14/11/2022 04:21,31.19778499,-92.52997303,38098,607,,,"Rapides, Louisiana, US",29385.72134,1.593259489
Louisiana,US,14/11/2022 04:21,32.09530039,-93.34213308,2435,58,,,"Red River, Louisiana, US",28843.87586,2.381930185
Louisiana,US,14/11/2022 04:21,32.41391005,-91.76634876,8364,105,,,"Richland, Louisiana, US",41566.44469,1.255380201
Louisiana,US,14/11/2022 04:21,31.56388699,-93.55433981,7713,125,,,"Sabine, Louisiana, US",32293.58566,1.620640477
Louisiana,US,14/11/2022 04:21,29.87761636,-89.51887093,13490,117,,,"St. Bernard, Louisiana, US",28553.89044,0.867309118
Louisiana,US,14/11/2022 04:21,29.90709658,-90.35555967,16340,152,,,"St. Charles, Louisiana, US",30772.12806,0.930232558
Louisiana,US,14/11/2022 04:21,30.82210324,-90.71013176,2140,25,,,"St. Helena, Louisiana, US",21121.20016,1.168224299
Louisiana,US,14/11/2022 04:21,30.02531716,-90.80212061,6968,78,,,"St. James, Louisiana, US",33029.95829,1.119402985
Louisiana,US,14/11/2022 04:21,30.12597499,-90.4753503,12594,188,,,"St. John the Baptist, Louisiana, US",29399.81791,1.492774337
Louisiana,US,14/11/2022 04:21,30.59724262,-92.00135806,26278,426,,,"St. Landry, Louisiana, US",31997.95431,1.62112794
Louisiana,US,14/11/2022 04:21,30.13112107,-91.61403569,14573,197,,,"St. Martin, Louisiana, US",27274.4287,1.351815
Louisiana,US,14/11/2022 04:21,29.69262097,-91.44702164,14689,282,,,"St. Mary, Louisiana, US",29766.1506,1.919803935
Louisiana,US,14/11/2022 04:21,30.40942847,-89.95642711,86604,914,,,"St. Tammany, Louisiana, US",33255.63803,1.055378504
Louisiana,US,14/11/2022 04:21,30.62888673,-90.40664996,41651,647,,,"Tangipahoa, Louisiana, US",30907.99804,1.553384072
Louisiana,US,14/11/2022 04:21,32.00760749,-91.32915234,1258,13,,,"Tensas, Louisiana, US",29026.30365,1.033386328
Louisiana,US,14/11/2022 04:21,29.37343766,-90.82626855,36907,433,,,"Terrebonne, Louisiana, US",33411.7924,1.173219173
Louisiana,US,14/11/2022 04:21,,,1161,0,,,"Unassigned, Louisiana, US",,0
Louisiana,US,14/11/2022 04:21,32.83121059,-92.3749373,8454,142,,,"Union, Louisiana, US",38239.55129,1.679678259
Louisiana,US,14/11/2022 04:21,29.83517605,-92.30292538,18144,242,,,"Vermilion, Louisiana, US",30488.48112,1.33377425
Louisiana,US,14/11/2022 04:21,31.10884837,-93.18153838,11237,197,,,"Vernon, Louisiana, US",23692.25579,1.753136958
Louisiana,US,14/11/2022 04:21,30.85288548,-90.03866652,15386,264,,,"Washington, Louisiana, US",33307.35593,1.715845574
Louisiana,US,14/11/2022 04:21,32.70847669,-93.33121835,13830,197,,,"Webster, Louisiana, US",36071.98748,1.424439624
Louisiana,US,14/11/2022 04:21,30.46058217,-91.30989571,8577,93,,,"West Baton Rouge, Louisiana, US",32408.84187,1.084295208
Louisiana,US,14/11/2022 04:21,32.78550125,-91.461201,4354,71,,,"West Carroll, Louisiana, US",40203.13943,1.630684428
Louisiana,US,14/11/2022 04:21,30.87882871,-91.4148538,3104,48,,,"West Feliciana, Louisiana, US",19938.33505,1.546391753
Louisiana,US,14/11/2022 04:21,31.94449367,-92.63789413,5259,68,,,"Winn, Louisiana, US",37823.64787,1.293021487
Maine,US,14/11/2022 04:21,44.1664747,-70.20380627,26833,313,,,"Androscoggin, Maine, US",24781.80962,1.166474118
Maine,US,14/11/2022 04:21,46.65926321,-68.59841248,17238,191,,,"Aroostook, Maine, US",25707.25524,1.108017171
Maine,US,14/11/2022 04:21,43.8370751,-70.37226999,62603,448,,,"Cumberland, Maine, US",21221.14012,0.715620657
Maine,US,14/11/2022 04:21,44.97330019,-70.44381045,7018,70,,,"Franklin, Maine, US",23239.18011,0.997435167
Maine,US,14/11/2022 04:21,44.59816444,-68.38401854,9596,107,,,"Hancock, Maine, US",17451.3976,1.115047937
Maine,US,14/11/2022 04:21,44.40759555,-69.76738544,28491,281,,,"Kennebec, Maine, US",23295.6125,0.986276368
Maine,US,14/11/2022 04:21,44.11486325,-69.10529169,7661,49,,,"Knox, Maine, US",19262.29508,0.639603185
Maine,US,14/11/2022 04:21,44.05996956,-69.54227124,6586,41,,,"Lincoln, Maine, US",19015.99584,0.622532645
Maine,US,07/08/2020 22:34,,,0,0,,,"Out of ME, Maine, US",,
Maine,US,14/11/2022 04:21,44.49952995,-70.75682123,13931,170,,,"Oxford, Maine, US",24029.32298,1.22030005
Maine,US,14/11/2022 04:21,45.40194593,-68.65020455,34941,367,,,"Penobscot, Maine, US",22965.13921,1.050342005
Maine,US,14/11/2022 04:21,45.83839062,-69.2860223,3698,41,,,"Piscataquis, Maine, US",22031.57581,1.108707409
Maine,US,14/11/2022 04:21,43.95415864,-69.85074999,6632,42,,,"Sagadahoc, Maine, US",18496.20705,0.633293124
Maine,US,14/11/2022 04:21,45.51229767,-69.95995554,11971,121,,,"Somerset, Maine, US",23712.46335,1.010776042
Maine,US,14/11/2022 04:21,,,3,0,,,"Unassigned, Maine, US",,0
Maine,US,14/11/2022 04:21,44.4858305,-69.12061935,7660,76,,,"Waldo, Maine, US",19287.42289,0.992167102
Maine,US,14/11/2022 04:21,45.01607142,-67.62813524,5404,64,,,"Washington, Maine, US",17221.70879,1.18430792
Maine,US,14/11/2022 04:21,43.47808377,-70.71052375,49235,331,,,"York, Maine, US",23711.59838,0.672285975
Maryland,US,14/11/2022 04:21,39.62357628,-78.69280486,20569,379,,,"Allegany, Maryland, US",29210.69075,1.842578638
Maryland,US,14/11/2022 04:21,39.00670238,-76.60329337,112406,1202,,,"Anne Arundel, Maryland, US",19405.9741,1.069337936
Maryland,US,14/11/2022 04:21,39.45784712,-76.62911955,161343,2657,,,"Baltimore, Maryland, US",19500.70706,1.646802154
Maryland,US,14/11/2022 04:21,39.30211911,-76.61151012,139682,1889,,,"Baltimore City, Maryland, US",23535.69563,1.352357498
Maryland,US,14/11/2022 04:21,38.53961642,-76.56820632,13894,158,,,"Calvert, Maryland, US",15016.48203,1.137181517
Maryland,US,14/11/2022 04:21,38.87172293,-75.82904158,6972,88,,,"Caroline, Maryland, US",20870.5023,1.262191624
Maryland,US,14/11/2022 04:21,39.56453592,-77.02373735,26346,443,,,"Carroll, Maryland, US",15640.52788,1.681469673
Maryland,US,14/11/2022 04:21,39.56647682,-75.94627411,19050,277,,,"Cecil, Maryland, US",18521.21919,1.454068241
Maryland,US,14/11/2022 04:21,38.51092331,-76.98580666,35926,387,,,"Charles, Maryland, US",22005.79454,1.077214274
Maryland,US,14/11/2022 04:21,38.45413522,-76.02752426,9046,113,,,"Dorchester, Maryland, US",28331.61076,1.249170904
Maryland,US,14/11/2022 04:21,39.47296601,-77.39999394,55098,566,,,"Frederick, Maryland, US",21228.52508,1.027260518
Maryland,US,14/11/2022 04:21,39.52786077,-79.27355126,6747,119,,,"Garrett, Maryland, US",23254.29103,1.76374685
Maryland,US,14/11/2022 04:21,39.55010644,-76.3077594,46864,640,,,"Harford, Maryland, US",18346.31089,1.365653807
Maryland,US,14/11/2022 04:21,39.25305293,-76.93126208,59493,417,,,"Howard, Maryland, US",18266.75673,0.700922798
Maryland,US,14/11/2022 04:21,39.24976208,-76.04741541,3753,73,,,"Kent, Maryland, US",19323.44764,1.945110578
Maryland,US,14/11/2022 04:21,39.13676329,-77.20358245,228618,2223,,,"Montgomery, Maryland, US",21758.88561,0.972364381
Maryland,US,14/11/2022 04:21,38.83070039,-76.8496441,213171,2280,,,"Prince George's, Maryland, US",23442.72193,1.069563871
Maryland,US,14/11/2022 04:21,39.06198912,-76.03530977,8383,128,,,"Queen Anne's, Maryland, US",16639.20923,1.526899678
Maryland,US,14/11/2022 04:21,38.1163542,-75.75118623,5910,78,,,"Somerset, Maryland, US",23071.5178,1.319796954
Maryland,US,14/11/2022 04:21,38.30058422,-76.6062928,23062,235,,,"St. Mary's, Maryland, US",20317.15267,1.018992282
Maryland,US,14/11/2022 04:21,38.76618159,-76.10882561,6795,103,,,"Talbot, Maryland, US",18275.46327,1.515820456
Maryland,US,14/11/2022 04:21,,,0,30,,,"Unassigned, Maryland, US",,
Maryland,US,14/11/2022 04:21,39.60835778,-77.82002295,39667,608,,,"Washington, Maryland, US",26261.01464,1.532760229
Maryland,US,14/11/2022 04:21,38.37301947,-75.62705831,23480,346,,,"Wicomico, Maryland, US",22662.12395,1.473594549
Maryland,US,14/11/2022 04:21,38.21274277,-75.33200012,10283,174,,,"Worcester, Maryland, US",19670.59454,1.692113197
Massachusetts,US,14/11/2022 04:21,41.72980578,-70.28854339,45769,674,,,"Barnstable, Massachusetts, US",21488.80229,1.472612467
Massachusetts,US,14/11/2022 04:21,42.37428441,-73.20524838,33083,426,,,"Berkshire, Massachusetts, US",26478.26226,1.287670405
Massachusetts,US,14/11/2022 04:21,41.79228404,-71.10872211,173724,2326,,,"Bristol, Massachusetts, US",30735.80589,1.33890539
Massachusetts,US,14/11/2022 04:21,41.40674725,-70.68763497,7995,22,,,"Dukes and Nantucket, Massachusetts, US",27827.08573,0.275171982
Massachusetts,US,14/11/2022 04:21,42.6687626,-70.94687179,243825,2974,,,"Essex, Massachusetts, US",30901.71019,1.219727263
Massachusetts,US,14/11/2022 04:21,42.58119713,-72.58602547,13912,171,,,"Franklin, Massachusetts, US",19823.31148,1.229154687
Massachusetts,US,14/11/2022 04:21,42.13440424,-72.63235561,161849,1973,,,"Hampden, Massachusetts, US",34703.84157,1.219037498
Massachusetts,US,14/11/2022 04:21,42.33997957,-72.65898478,37560,400,,,"Hampshire, Massachusetts, US",23353.85189,1.064962726
Massachusetts,US,14/11/2022 04:21,42.48607732,-71.39049229,414797,4390,,,"Middlesex, Massachusetts, US",25736.62948,1.058349024
Massachusetts,US,14/11/2022 04:21,42.16073095,-71.20530408,164922,2104,,,"Norfolk, Massachusetts, US",23334.44165,1.275754599
Massachusetts,US,14/11/2022 04:21,41.94070556,-70.80802823,136220,1810,,,"Plymouth, Massachusetts, US",26135.74008,1.328732932
Massachusetts,US,14/11/2022 04:21,42.3279514,-71.07850442,256682,2104,,,"Suffolk, Massachusetts, US",31929.31521,0.819691291
Massachusetts,US,14/11/2022 04:21,,,179981,5,,,"Unassigned, Massachusetts, US",,0.002778071
Massachusetts,US,14/11/2022 04:21,42.35026951,-71.90493363,228919,2830,,,"Worcester, Massachusetts, US",27559.94905,1.236245135
Michigan,US,14/11/2022 04:21,44.6846864,-83.59507875,1883,75,,,"Alcona, Michigan, US",18097.06872,3.983005842
Michigan,US,14/11/2022 04:21,46.41292944,-86.60260122,2052,17,,,"Alger, Michigan, US",22529.64427,0.828460039
Michigan,US,14/11/2022 04:21,42.59147037,-85.89102866,31083,387,,,"Allegan, Michigan, US",26323.45593,1.245053566
Michigan,US,14/11/2022 04:21,45.03477666,-83.62212411,6256,153,,,"Alpena, Michigan, US",22024.2915,2.445652174
Michigan,US,14/11/2022 04:21,44.99690221,-85.15503082,5105,73,,,"Antrim, Michigan, US",21887.32636,1.429970617
Michigan,US,14/11/2022 04:21,44.0636262,-83.89277559,3736,80,,,"Arenac, Michigan, US",25102.4659,2.141327623
Michigan,US,14/11/2022 04:21,46.6720582,-88.36363591,2452,58,,,"Baraga, Michigan, US",29869.65526,2.365415987
Michigan,US,14/11/2022 04:21,42.59513984,-85.30834519,16310,184,,,"Barry, Michigan, US",26498.78148,1.128142244
Michigan,US,14/11/2022 04:21,43.70639106,-83.98731479,30803,647,,,"Bay, Michigan, US",29869.28612,2.100444762
Michigan,US,14/11/2022 04:21,44.63899297,-86.01608482,3992,75,,,"Benzie, Michigan, US",22469.8863,1.878757515
Michigan,US,14/11/2022 04:21,41.95447397,-86.4131308,40034,647,,,"Berrien, Michigan, US",26097.61344,1.616126293
Michigan,US,14/11/2022 04:21,41.91600556,-85.05929476,12873,200,,,"Branch, Michigan, US",29581.54285,1.5536394
Michigan,US,14/11/2022 04:21,42.24633834,-85.00493569,40703,634,,,"Calhoun, Michigan, US",30339.37343,1.557624745
Michigan,US,14/11/2022 04:21,41.91522292,-85.99405727,12590,157,,,"Cass, Michigan, US",24311.12055,1.247021446
Michigan,US,14/11/2022 04:21,45.37790017,-85.19614053,5712,65,,,"Charlevoix, Michigan, US",21849.06093,1.137955182
Michigan,US,14/11/2022 04:21,45.44787015,-84.50122149,5555,122,,,"Cheboygan, Michigan, US",21977.36984,2.196219622
Michigan,US,14/11/2022 04:21,46.29552653,-84.54353449,9956,113,,,"Chippewa, Michigan, US",26656.67086,1.134993973
Michigan,US,14/11/2022 04:21,43.98794227,-84.8481986,7867,173,,,"Clare, Michigan, US",25418.4168,2.199059362
Michigan,US,14/11/2022 04:21,42.94400871,-84.60145248,26635,223,,,"Clinton, Michigan, US",33463.15723,0.837244228
Michigan,US,14/11/2022 04:21,44.68255561,-84.61006219,3082,36,,,"Crawford, Michigan, US",21968.77896,1.16807268
Michigan,US,14/11/2022 04:21,45.9048491,-86.9080745,11828,169,,,"Delta, Michigan, US",33053.87883,1.428812986
Michigan,US,14/11/2022 04:21,46.00999672,-87.86961634,8853,119,,,"Dickinson, Michigan, US",35076.66706,1.344177115
Michigan,US,14/11/2022 04:21,42.59599185,-84.83740035,33204,443,,,"Eaton, Michigan, US",30112.09054,1.334176605
Michigan,US,14/11/2022 04:21,45.52625509,-84.89083249,7375,102,,,"Emmet, Michigan, US",22070.92623,1.383050847
Michigan,US,14/11/2022 04:21,,,329,5,,,"Federal Correctional Institution (FCI), Michigan, US",,1.519756839
Michigan,US,14/11/2022 04:21,43.02244215,-83.70589709,119994,1903,,,"Genesee, Michigan, US",29568.79154,1.585912629
Michigan,US,14/11/2022 04:21,43.98901072,-84.38774817,6524,127,,,"Gladwin, Michigan, US",25635.5849,1.946658492
Michigan,US,14/11/2022 04:21,46.40862701,-89.69377193,4041,74,,,"Gogebic, Michigan, US",28915.92129,1.831229894
Michigan,US,14/11/2022 04:21,44.69565625,-85.55585247,20675,262,,,"Grand Traverse, Michigan, US",22210.16672,1.267230955
Michigan,US,14/11/2022 04:21,43.29265605,-84.60505416,12409,204,,,"Gratiot, Michigan, US",30480.70546,1.643968088
Michigan,US,14/11/2022 04:21,41.88753639,-84.59312019,12156,215,,,"Hillsdale, Michigan, US",26654.97204,1.768673906
Michigan,US,14/11/2022 04:21,46.89988536,-88.68495385,9207,104,,,"Houghton, Michigan, US",25801.47965,1.129575323
Michigan,US,14/11/2022 04:21,43.83353985,-83.04078453,9411,155,,,"Huron, Michigan, US",30376.68248,1.647008819
Michigan,US,14/11/2022 04:21,42.59716886,-84.37472069,80268,856,,,"Ingham, Michigan, US",27450.8731,1.066427468
Michigan,US,14/11/2022 04:21,42.94502238,-85.07413319,19047,192,,,"Ionia, Michigan, US",29440.31408,1.008032761
Michigan,US,14/11/2022 04:21,44.35486835,-83.63484895,5518,163,,,"Iosco, Michigan, US",21960.44096,2.953968829
Michigan,US,14/11/2022 04:21,46.20974132,-88.53136251,3373,99,,,"Iron, Michigan, US",30480.75185,2.935072636
Michigan,US,14/11/2022 04:21,43.64060976,-84.84664923,17479,226,,,"Isabella, Michigan, US",25015.74307,1.292980148
Michigan,US,14/11/2022 04:21,42.24807035,-84.42258681,47692,615,,,"Jackson, Michigan, US",30087.69163,1.289524449
Michigan,US,14/11/2022 04:21,42.24542231,-85.53038622,72493,747,,,"Kalamazoo, Michigan, US",27349.0376,1.030444319
Michigan,US,14/11/2022 04:21,44.68512729,-85.09085699,4321,68,,,"Kalkaska, Michigan, US",23954.98392,1.573709789
Michigan,US,14/11/2022 04:21,43.03197711,-85.54934642,194305,1703,,,"Kent, Michigan, US",29576.60723,0.876457116
Michigan,US,14/11/2022 04:21,47.63197653,-88.41434263,638,15,,,"Keweenaw, Michigan, US",30151.22873,2.351097179
Michigan,US,14/11/2022 04:21,43.99050893,-85.802173,2307,41,,,"Lake, Michigan, US",19463.42698,1.777199827
Michigan,US,14/11/2022 04:21,43.09052506,-83.22153148,23279,455,,,"Lapeer, Michigan, US",26572.07757,1.954551312
Michigan,US,14/11/2022 04:21,44.94430054,-85.80150326,4262,63,,,"Leelanau, Michigan, US",19585.49699,1.478179259
Michigan,US,14/11/2022 04:21,41.89475156,-84.06603727,29272,347,,,"Lenawee, Michigan, US",29732.55731,1.185433178
Michigan,US,14/11/2022 04:21,42.60302282,-83.91297209,55037,505,,,"Livingston, Michigan, US",28665.85067,0.917564547
Michigan,US,14/11/2022 04:21,46.47227431,-85.54471223,1629,19,,,"Luce, Michigan, US",26151.87028,1.16635973
Michigan,US,14/11/2022 04:21,46.07028979,-85.04980537,2888,36,,,"Mackinac, Michigan, US",26743.21696,1.246537396
Michigan,US,14/11/2022 04:21,42.69158356,-82.92752801,283490,4311,,,"Macomb, Michigan, US",32436.96594,1.52068856
Michigan,US,14/11/2022 04:21,44.33352407,-86.05626916,4559,103,,,"Manistee, Michigan, US",18564.21533,2.259267383
Michigan,US,14/11/2022 04:21,46.4338914,-87.64043701,18186,158,,,"Marquette, Michigan, US",27265.7761,0.868800176
Michigan,US,14/11/2022 04:21,43.99509218,-86.24988902,7990,105,,,"Mason, Michigan, US",27415.59155,1.314142678
Michigan,US,14/11/2022 04:21,43.64064262,-85.32463223,9875,120,,,"Mecosta, Michigan, US",22725.70363,1.215189873
Michigan,US,14/11/2022 04:21,45.58038692,-87.55370409,6669,77,,,"Menominee, Michigan, US",29275.68042,1.154595891
Michigan,US,14/11/2022 04:21,,,41170,180,,,"Michigan Department of Corrections (MDOC), Michigan, US",,0.437211562
Michigan,US,14/11/2022 04:21,43.64330771,-84.38804374,22600,247,,,"Midland, Michigan, US",27177.83443,1.092920354
Michigan,US,14/11/2022 04:21,44.33772443,-85.09256478,3456,68,,,"Missaukee, Michigan, US",22860.16669,1.967592593
Michigan,US,14/11/2022 04:21,41.92734151,-83.53749864,45883,514,,,"Monroe, Michigan, US",30487.04319,1.120240612
Michigan,US,14/11/2022 04:21,43.31082541,-85.15252824,17257,228,,,"Montcalm, Michigan, US",27011.33233,1.32120299
Michigan,US,14/11/2022 04:21,45.0275929,-84.12696227,1921,50,,,"Montmorency, Michigan, US",20593.91081,2.602811036
Michigan,US,14/11/2022 04:21,43.29123859,-86.15176712,46549,685,,,"Muskegon, Michigan, US",26819.1927,1.471567595
Michigan,US,14/11/2022 04:21,43.554374,-85.80070107,13162,171,,,"Newaygo, Michigan, US",26872.19273,1.299194651
Michigan,US,14/11/2022 04:21,42.66090111,-83.38595416,363390,4228,,,"Oakland, Michigan, US",28895.8829,1.163488263
Michigan,US,14/11/2022 04:21,43.64124435,-86.26726673,7393,101,,,"Oceana, Michigan, US",27932.89757,1.366157176
Michigan,US,14/11/2022 04:21,44.33481032,-84.12725175,4861,114,,,"Ogemaw, Michigan, US",23150.92632,2.345196462
Michigan,US,14/11/2022 04:21,46.6652262,-89.31390481,1261,43,,,"Ontonagon, Michigan, US",22045.45455,3.40999207
Michigan,US,14/11/2022 04:21,43.98992088,-85.32566756,5783,96,,,"Osceola, Michigan, US",24650.46888,1.660038043
Michigan,US,14/11/2022 04:21,44.68192279,-84.12939244,1638,59,,,"Oscoda, Michigan, US",19876.22861,3.601953602
Michigan,US,14/11/2022 04:21,45.02085831,-84.59898295,6543,115,,,"Otsego, Michigan, US",26524.24193,1.757603546
Michigan,US,14/11/2022 04:21,42.95996803,-85.9969107,85078,857,,,"Ottawa, Michigan, US",29153.27417,1.007310938
Michigan,US,14/11/2022 04:21,,,8744,52,,,"Out of MI, Michigan, US",,0.594693504
Michigan,US,14/11/2022 04:21,45.34018577,-83.91498656,2315,64,,,"Presque Isle, Michigan, US",18384.68869,2.764578834
Michigan,US,14/11/2022 04:21,44.33473082,-84.61067651,5373,125,,,"Roscommon, Michigan, US",22369.79058,2.32644705
Michigan,US,14/11/2022 04:21,43.33433923,-84.0513121,58643,1026,,,"Saginaw, Michigan, US",30777.42614,1.749569429
Michigan,US,14/11/2022 04:21,43.42406072,-82.82055898,10047,216,,,"Sanilac, Michigan, US",24403.69201,2.149895491
